in,out
"s(TYPEHUQ, d = 4)",TYPEHUQ
"s(CDD65, d = 4)",CDD65
"s(EQUIPAGE, d = 4)",EQUIPAGE
"s(TOTHSQFT, d = 4)",TOTHSQFT
"s(TOTUCSQFT, d = 4)",TOTUCSQFT
"s(DOLELSPH, d = 4)",DOLELSPH
"s(TOTSQFT_EN, d = 4)",TOTSQFT_EN
"s(TOTCSQFT, d = 4)",TOTCSQFT
"s(DOLLAREL, d = 4)",DOLLAREL
"s(DOLELWTH, d = 4)",DOLELWTH
"s(NWEIGHT, d = 4)",NWEIGHT
"s(HDD30YR, d = 4)",HDD30YR
"s(MONEYPY, d = 4)",MONEYPY
"s(TOTUSQFT, d = 4)",TOTUSQFT
"s(KWH, d = 4)",KWH
"s(DOLELCOL, d = 4)",DOLELCOL
"s(HDD65, d = 4)",HDD65
"s(AIA_Zone, d = 4)",AIA_Zone
"s(TOTSQFT, d = 4)",TOTSQFT